Time,Temp,Press,KE,PE,Etot,Vol
157.999,493.670959876415,1183.04344912837,191.372127587888,-14345.3075237118,-14153.9353961239,55032.9886600076
158.999,490.926431499122,-1605.43951020029,190.308207938008,-14337.4129135973,-14147.1047056593,55228.0252644769
159.999,485.7623231779,-486.208789811321,188.306335280207,-14342.8892445216,-14154.5829092414,55137.3470681102
160.999,504.124342635756,200.897473216027,195.424393695755,-14346.1144591985,-14150.6900655027,55087.7591414883
161.999,489.200606108081,394.175668927592,189.639189697576,-14342.7367941163,-14153.0976044187,55079.7015083955
162.999,494.156922214594,205.951201046626,191.560511459218,-14341.5372003488,-14149.9766888896,55107.5198072365
163.999,498.383672746634,-511.064935027501,193.199016268783,-14344.6755016493,-14151.4764853806,55133.3048794663
164.999,516.488353638095,344.767797490591,200.217317086732,-14342.0186449842,-14141.8013278975,55095.5488221895
165.999,497.360819399471,1881.0827705857,192.80250596705,-14338.281800151,-14145.4792941839,55025.8486227814
166.999,494.700374632323,-559.459415645861,191.771181427429,-14336.7544921066,-14144.9833106792,55174.1047279775
167.999,501.459701102906,-806.150898262866,194.391442274979,-14337.0237652256,-14142.6323229506,55190.2123501501
168.999,512.996603130911,1305.95925741798,198.863735900322,-14337.0074854765,-14138.1437495762,55077.1502731064
169.999,495.478485779497,1250.30733735886,192.072817127799,-14340.0648951614,-14147.9920780336,55052.6749855769
170.999,496.48565761541,-846.840249986286,192.463248473271,-14336.398220266,-14143.9349717928,55183.308939091
171.999,500.577495715061,-116.566113995669,194.049454319917,-14335.1405432473,-14141.0910889274,55157.5891212477
172.999,507.958607266343,1162.65182442493,196.910750884507,-14329.5073350257,-14132.5965841412,55115.1666733395
173.999,500.332782405744,1765.39919926605,193.954590918058,-14335.0548077704,-14141.1002168523,55057.2639242709
174.999,512.702345154278,-441.398215660803,198.749666449969,-14332.7927501838,-14134.0430837338,55190.1243906838
175.999,507.788163029228,-643.542620468364,196.844677975743,-14343.0547918087,-14146.210113833,55151.1878554085
176.999,521.876196696328,-967.663896920196,202.305920778191,-14333.7518144133,-14131.4458936351,55219.0474358478
177.999,516.302902642367,991.250951980977,200.14542679036,-14337.7509772004,-14137.60555041,55095.9916213321
178.999,517.965488286866,227.942064698819,200.789930068747,-14335.7374628023,-14134.9475327336,55142.7847680559
179.999,509.410121521666,-1192.68516871256,197.473432090902,-14331.2890433117,-14133.8156112208,55236.9433850901
180.999,523.001878735419,-408.014763086477,202.742292743157,-14331.6640903402,-14128.9217975971,55204.5492514402
181.999,514.059021778399,1513.96174325922,199.275583737208,-14334.6101488584,-14135.3345651212,55074.1570059039
182.999,519.998417675343,436.450068019962,201.577997534588,-14327.6791327324,-14126.1011351979,55175.2964679669
183.999,536.586189997229,-706.45147617082,208.008266963394,-14329.8311515689,-14121.8228846055,55229.5115797352
184.999,523.762111155451,-406.165164956038,203.036997733946,-14333.9380582603,-14130.9010605264,55195.1229944525
185.999,527.352459128859,-2323.71166416402,204.428800343975,-14329.4514058536,-14125.0226055097,55310.5865411533
186.999,516.776942790702,512.342421110513,200.329189010791,-14329.6615939708,-14129.33240496,55150.3401027933
187.999,519.08434717398,315.9048822851,201.223657030834,-14331.015812117,-14129.7921550862,55162.7617500144
188.999,525.318212757484,-1038.66368765568,203.640222348168,-14322.8474169601,-14119.2071946119,55279.873288876
189.999,525.948733691469,-355.299599546889,203.884644528998,-14328.5654974102,-14124.6808528812,55221.1793668466
190.999,536.067789677149,2211.91140716617,207.80730847027,-14330.6661040809,-14122.8587956107,55064.2732636991
191.999,527.20898018346,285.531071670475,204.373180562225,-14330.8544875345,-14126.4813069723,55174.2158597425
192.999,534.165396943578,-1983.61166662826,207.069843692066,-14327.0192798966,-14119.9494362045,55326.2116373688
193.999,528.780811051814,-472.616356781287,204.982502645015,-14326.2828866111,-14121.3003839661,55236.1721661152
194.999,527.468449001624,1663.68347424641,204.473763954424,-14325.4724448141,-14120.9986808597,55118.3982189509
195.999,527.017447105441,-1669.04567982222,204.298932539507,-14327.9753397715,-14123.676407232,55292.8120255561
196.999,527.473923674864,810.914667260133,204.475886217938,-14318.8674349368,-14114.3915487188,55204.4477307686
197.999,550.702256775975,1220.21791844727,213.480376834506,-14324.6395840499,-14111.1592072154,55168.6839794516
198.999,516.768870063297,-556.996116358999,200.326059608528,-14324.4509893982,-14124.1249297896,55249.8297392363
199.999,539.564071687122,412.204895532661,209.16264629906,-14318.9594149132,-14109.7967686142,55223.4896401028
200.999,532.351083214072,672.934665325632,206.366522843267,-14326.5292317058,-14120.1627088626,55172.7917759461
201.999,543.353245814454,-368.83646842429,210.631524101251,-14321.7784111004,-14111.1468869991,55255.4713308731
202.999,548.798016808282,-1531.81479393435,212.742195973824,-14316.2372766105,-14103.4950806367,55354.1861650313
203.999,546.97657235893,293.372837793243,212.0361108931,-14322.2627542564,-14110.2266433633,55223.3785226381
204.999,526.208993548852,-152.373125255702,203.98553456848,-14317.883068622,-14113.8975340536,55265.5347561588
205.999,547.517089851626,-468.092110954561,212.245643134173,-14315.8133640334,-14103.5677208993,55297.3381551736
206.999,542.880407673745,1637.96171723721,210.448227840488,-14319.7099595694,-14109.2617317289,55158.1075214948
207.999,541.815580138717,1621.17633644378,210.035446195517,-14316.0870976302,-14106.0516514347,55169.5181469892
208.999,554.873385497666,-522.017985750027,215.097319783942,-14311.1340458737,-14096.0367260897,55322.6536999214
209.999,547.980809217247,-41.322229798745,212.42540449106,-14314.0945734093,-14101.6691689183,55285.9689297932
210.999,563.014519199512,158.729275482171,218.253239828114,-14321.273984361,-14103.0207445329,55241.9344402312
211.999,548.695207144923,-1133.25481982378,212.702341687037,-14315.9076047729,-14103.2052630859,55335.5533516468
212.999,557.577496147285,-1954.46822292382,216.145571454204,-14318.4367691059,-14102.2911976517,55361.5029065692
213.999,557.14606722836,2512.98439163602,215.978327526917,-14310.4777256392,-14094.4993981123,55155.0559827995
214.999,562.731215016163,57.1065022922101,218.143416628597,-14318.6837622685,-14100.5403456399,55255.6688419573
215.999,544.114308794414,-327.919877872758,210.926551059571,-14312.1426361183,-14101.2160850588,55309.0589874235
216.999,565.129228516635,-158.342841536889,219.073009379373,-14317.720084615,-14098.6470752357,55279.7576726105
217.999,565.72454119754,249.28904123532,219.303783039532,-14304.9771544614,-14085.6733714219,55315.6660073756
218.999,557.54555256328,-1884.3150117905,216.133188486336,-14315.7952230738,-14099.6620345875,55382.0562958845
